id,soc_broad_id,occ_code,title,description
606,331,49-3043,Rail Car Repairers,"Diagnose, adjust, repair, or overhaul railroad rolling stock, mine cars, or
mass transit rail cars. Excludes ""Bus and Truck Mechanics and Diesel Engine
Specialists"" (49-3031)."
607,332,49-3051,Motorboat Mechanics and Service Technicians,"Repair and adjust electrical and mechanical equipment of inboard or
inboard-outboard boat engines. Excludes ""Bus and Truck Mechanics and Diesel
Engine Specialists"" (49-3031)."
608,332,49-3052,Motorcycle Mechanics,"Diagnose, adjust, repair, or overhaul motorcycles, scooters, mopeds, dirt
bikes, or similar motorized vehicles."
609,332,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,"Diagnose, adjust, repair, or overhaul small engines used to power lawn
mowers, chain saws, recreational sporting equipment, and related equipment."
610,333,49-3091,Bicycle Repairers,Repair and service bicycles.
611,333,49-3092,Recreational Vehicle Service Technicians,"Diagnose, inspect, adjust, repair, or overhaul recreational vehicles
including travel trailers. May specialize in maintaining gas, electrical,
hydraulic, plumbing, or chassis/towing systems as well as repairing
generators, appliances, and interior components. Includes workers who
perform customized van conversions. Excludes ""Automotive Service
Technicians and Mechanics"" (49-3023) and ""Bus and Truck Mechanics and
Diesel Engine Specialists"" (49-3031) who also work on recreation vehicles."
612,333,49-3093,Tire Repairers and Changers,Repair and replace tires.
613,334,49-9011,Mechanical Door Repairers,"Install, service, or repair automatic door mechanisms and hydraulic doors.
Includes garage door mechanics."
614,334,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door","Install, repair, and maintain mechanical regulating and controlling
devices, such as electric meters, gas regulators, thermostats, safety and
flow valves, and other mechanical governors."
615,335,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Install or repair heating, central air conditioning, HVAC, or refrigeration
systems, including oil burners, hot-air furnaces, and heating stoves."
616,336,49-9031,Home Appliance Repairers,"Repair, adjust, or install all types of electric or gas household
appliances, such as refrigerators, washers, dryers, and ovens."
617,337,49-9041,Industrial Machinery Mechanics,"Repair, install, adjust, or maintain industrial production and processing
machinery or refinery and pipeline distribution systems. May also install,
dismantle, or move machinery and heavy equipment according to plans.
Excludes ""Mobile Heavy Equipment Mechanics, Except Engines"" (49-3042), and
""Maintenance Workers, Machinery"" (49-9043)."
618,337,49-9043,"Maintenance Workers, Machinery","Lubricate machinery, change parts, or perform other routine machinery
maintenance. Excludes ""Maintenance and Repair Workers, General"" (49-9071)."
619,337,49-9044,Millwrights,"Install, dismantle, or move machinery and heavy equipment according to
layout plans, blueprints, or other drawings."
620,337,49-9045,"Refractory Materials Repairers, Except Brickmasons","Build or repair equipment such as furnaces, kilns, cupolas, boilers,
converters, ladles, soaking pits, and ovens, using refractory materials."
621,338,49-9051,Electrical Power-Line Installers and Repairers,"Install or repair cables or wires used in electrical power or distribution
systems. May erect poles and light or heavy duty transmission towers.
Excludes ""Electrical and Electronics Repairers, Powerhouse, Substation, and
Relay"" (49-2095)."
622,338,49-9052,Telecommunications Line Installers and Repairers,"Install and repair telecommunications cable, including fiber optics."
623,339,49-9061,Camera and Photographic Equipment Repairers,"Repair and adjust cameras and photographic equipment, including commercial
video and motion picture camera equipment."
624,339,49-9062,Medical Equipment Repairers,"Test, adjust, or repair biomedical or electromedical equipment."
625,339,49-9063,Musical Instrument Repairers and Tuners,"Repair percussion, stringed, reed, or wind instruments. May specialize in
one area, such as piano tuning. Excludes ""Audiovisual Equipment Installers
and Repairers"""" (49-2097) who repair electrical and electronic musical
instrument"
626,339,49-9064,Watch and Clock Repairers,"Repair, clean, and adjust mechanisms of timing instruments, such as watches
and clocks. Includes watchmakers, watch technicians, and mechanical
timepiece repairers. Excludes """"Timing Device Assemblers and Adjusters""
(51-2061"
627,339,49-9069,"Precision Instrument and Equipment Repairers, All Other",All precision instrument and equipment repairers not listed separately.
628,340,49-9071,"Maintenance and Repair Workers, General","Perform work involving the skills of two or more maintenance or craft
occupations to keep machines, mechanical equipment, or the structure of a
building in repair. Duties may involve pipe fitting; HVAC maintenance;
insulating; welding; machining; carpentry; repairing electrical or
mechanical equipment; installing, aligning, and balancing new equipment;
and repairing buildings, floors, or stairs. Excludes ""Facilities Managers""
(11-3013) and ""Maintenance Workers, Machinery"" (49-9043)."
629,341,49-9081,Wind Turbine Service Technicians,"Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on
wind turbine equipment including resolving electrical, mechanical, and
hydraulic malfunctions."
630,342,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers","Install, service, adjust, or repair coin, vending, or amusement machines
including video games, juke boxes, pinball machines, or slot machines."
631,342,49-9092,Commercial Divers,"Work below surface of water, using surface-supplied air or scuba equipment
to inspect, repair, remove, or install equipment and structures. May use a
variety of power and hand tools, such as drills, sledgehammers, torches,
and welding equipment. May conduct tests or experiments, rig explosives, or
photograph structures or marine life. Excludes ""Athletes and Sports
Competitors"" (27-2021), ""Police and Sheriff's Patrol Officers"" (33-3051),
and ""Fishing and Hunting Workers"" (45-3031)."
632,342,49-9094,Locksmiths and Safe Repairers,"Repair and open locks, make keys, change locks and safe combinations, and
install and repair safes."
633,342,49-9095,Manufactured Building and Mobile Home Installers,Move or install mobile homes or prefabricated buildings.
634,342,49-9096,Riggers,"Set up or repair rigging for construction projects, manufacturing plants,
logging yards, ships and shipyards, or for the entertainment industry."
635,342,49-9097,Signal and Track Switch Repairers,"Install, inspect, test, maintain, or repair electric gate crossings,
signals, signal equipment, track switches, section lines, or
intercommunications systems within a railroad system."
636,342,49-9098,"Helpers--Installation, Maintenance, and Repair Workers","Help installation, maintenance, and repair workers in maintenance, parts
replacement, and repair of vehicles, industrial machinery, and electrical
and electronic equipment. Perform duties such as furnishing tools,
materials, and supplies to other workers; cleaning work area, machines, and
tools; and holding materials or tools for other workers."
637,342,49-9099,"Installation, Maintenance, and Repair Workers, All Other","All installation, maintenance, and repair workers not listed separately."
638,343,51-1011,First-Line Supervisors of Production and Operating Workers,"Directly supervise and coordinate the activities of production and
operating workers, such as inspectors, precision workers, machine setters
and operators, assemblers, fabricators, and plant and system operators.
Excludes team or work leaders."
639,344,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Assemble, fit, fasten, and install parts of airplanes, space vehicles, or
missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing
gear, rigging and control equipment, or heating and ventilating systems."
640,345,51-2021,"Coil Winders, Tapers, and Finishers","Wind wire coils used in electrical components, such as resistors and
transformers, and in electrical equipment and instruments, such as field
cores, bobbins, armature cores, electrical motors, generators, and control
equipment."
641,345,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","This occupation includes 2018 and 2010 SOC occupations 51-2022 Electrical
and Electronic Equipment Assemblers and 51-2023 Electromechanical Equipment
Assemblers."
642,346,51-2031,Engine and Other Machine Assemblers,"Construct, assemble, or rebuild machines, such as engines, turbines, and
similar equipment used in such industries as construction, extraction,
textiles, and paper manufacturing."
643,347,51-2041,Structural Metal Fabricators and Fitters,"Fabricate, position, align, and fit parts of structural metal products.
Shipfitters are included in ""Layout Workers, Metal and Plastic"" (51-4192)."
644,348,51-2051,Fiberglass Laminators and Fabricators,"Laminate layers of fiberglass on molds to form boat decks and hulls, bodies
for golf carts, automobiles, or other products."
645,349,51-2061,Timing Device Assemblers and Adjusters,"Perform precision assembling or adjusting, within narrow tolerances, of
timing devices such as digital clocks or timing devices with electrical or
electronic components. Watchmakers are included in ""Watch and Clock
Repairers"" (49-9064)."
646,350,51-2090,Miscellaneous Assemblers and Fabricators,"This occupation includes the 2018 SOC occupations 51-2092 Team Assemblers
and 51-2099 Assemblers and Fabricators, All Other and the 2010 SOC
occupations 51-2092 Team Assemblers and 51-2099 Assemblers and Fabricators,
All Other."
647,351,51-3011,Bakers,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies,
pastries, or other baked goods. Pastry chefs in restaurants and hotels are
included with ""Chefs and Head Cooks"" (35-1011)."
648,352,51-3021,Butchers and Meat Cutters,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in
retail establishments."
649,352,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers","Use hands or hand tools to perform routine cutting and trimming of meat,
poultry, and seafood."
650,352,51-3023,Slaughterers and Meat Packers,"Perform nonroutine or precision functions involving the preparation of
large portions of meat. Work may include specialized slaughtering tasks,
cutting standard or premium cuts of meat for marketing, making sausage, or
wrapping meats. Work typically occurs in slaughtering, meat packing, or
wholesale establishments. Excludes ""Meat, Poultry, and Fish Cutters and
Trimmers"" (51-3022) who perform routine meat cutting."
651,353,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Operate or tend food or tobacco roasting, baking, or drying equipment,
including hearth ovens, kiln driers, roasters, char kilns, and vacuum
drying equipment."
652,353,51-3092,Food Batchmakers,"Set up and operate equipment that mixes or blends ingredients used in the
manufacturing of food products. Includes candy makers and cheese makers."
653,353,51-3093,Food Cooking Machine Operators and Tenders,"Operate or tend cooking equipment, such as steam cooking vats, deep fry
cookers, pressure cookers, kettles, and boilers, to prepare food products.
Excludes ""Food and Tobacco Roasting, Baking, and Drying Machine Operators
and Tenders"" (51-3091)."
654,353,51-3099,"Food Processing Workers, All Other",All food processing workers not listed separately
655,354,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to extrude or draw thermoplastic or metal
materials into tubes, rods, hoses, wire, bars, or structural shapes."
656,354,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend forging machines to taper, shape, or form metal or
plastic parts."
657,354,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to roll steel or plastic forming bends,
beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of
material."
658,355,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp,
notch, bend, or straighten metal or plastic material."
659,355,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend drilling machines to drill, bore, ream, mill, or
countersink metal or plastic work pieces."
660,355,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend grinding and related tools that remove excess
material or burrs from surfaces, sharpen edges or corners, or buff, hone,
or polish metal or plastic work pieces."
661,355,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend lathe and turning machines to turn, bore, thread,
form, or face metal or plastic materials, such as wire, rod, or bar stock."
662,355,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend milling or planing machines to mill, plane, shape,
groove, or profile metal or plastic work pieces."
663,356,51-4041,Machinists,"Set up and operate a variety of machine tools to produce precision parts
and instruments out of metal. Includes precision instrument makers who
fabricate, modify, or repair mechanical instruments. May also fabricate and
modify parts to make or repair machine tools or maintain industrial
machines, applying knowledge of mechanics, mathematics, metal properties,
layout, and machining procedures. Machinists who primarily program or
operate computer numerically controlled (CNC) equipment are classified in
""Computer Numerically Controlled Tool Operators and Programmers"" (51-9160)."
664,357,51-4051,Metal-Refining Furnace Operators and Tenders,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric
induction, open-hearth, or oxygen furnaces, to melt and refine metal before
casting or to produce specified types of steel. Excludes ""Heat Treating
Equipment Setters, Operators, and Tenders, Metal and Plastic"" (51-4191)."
665,357,51-4052,"Pourers and Casters, Metal","Operate hand-controlled mechanisms to pour and regulate the flow of molten
metal into molds to produce castings or ingots."
666,358,51-4061,"Model Makers, Metal and Plastic","Set up and operate machines, such as lathes, milling and engraving
machines, and jig borers to make working models of metal or plastic
objects. Includes template makers."
667,358,51-4062,"Patternmakers, Metal and Plastic","Lay out, machine, fit, and assemble castings and parts to metal or plastic
foundry patterns, core boxes, or match plates."
668,359,51-4071,Foundry Mold and Coremakers,"Make or form wax or sand cores or molds used in the production of metal
castings in foundries. Excludes ""Molding, Coremaking, and Casting Machine
Setters, Operators, and Tenders, Metal and Plastic"" (51-4072) and ""Molders,
Shapers, and Casters, Except Metal and Plastic"" (51-9195)."
669,359,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend metal or plastic molding, casting, or coremaking
machines to mold or cast metal or thermoplastic parts or products."
670,360,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend more than one type of cutting or forming machine
tool or robot."
671,361,51-4111,Tool and Die Makers,"Analyze specifications, lay out metal stock, set up and operate machine
tools, and fit and assemble parts to make and repair dies, cutting tools,
jigs, fixtures, gauges, and machinists' hand tools."
672,362,51-4121,"Welders, Cutters, Solderers, and Brazers","Use hand-welding, flame-cutting, hand-soldering, or brazing equipment to
weld or join metal components or to fill holes, indentations, or seams of
fabricated metal products."
673,362,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Set up, operate, or tend welding, soldering, or brazing machines or robots
that weld, braze, solder, or heat treat metal products, components, or
assemblies. Includes workers who operate laser cutters or laser-beam
machines."
674,363,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend heating equipment, such as heat-treating furnaces,
flame-hardening machines, induction machines, soaking pits, or vacuum
equipment to temper, harden, anneal, or heat treat metal or plastic objects."
675,363,51-4192,"Layout Workers, Metal and Plastic","Lay out reference points and dimensions on metal or plastic stock or
workpieces, such as sheets, plates, tubes, structural shapes, castings, or
machine parts, for further processing. Includes shipfitters."
676,363,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend plating machines to coat metal or plastic products
with chromium, zinc, copper, cadmium, nickel, or other metal to protect or
decorate surfaces. Typically, the product being coated is immersed in
molten metal or an electrolytic solution. Excludes ""Coating, Painting, and
Spraying Machine Setters, Operators, and Tenders"" (51-9124)."
677,363,51-4194,"Tool Grinders, Filers, and Sharpeners","Perform precision smoothing, sharpening, polishing, or grinding of metal
objects."
678,363,51-4199,"Metal Workers and Plastic Workers, All Other",All metal workers and plastic workers not listed separately.
679,364,51-5111,Prepress Technicians and Workers,"Format and proof text and images submitted by designers and clients into
finished pages that can be printed. Includes digital and photo typesetting.
May produce printing plates."
680,364,51-5112,Printing Press Operators,"Set up and operate digital, letterpress, lithographic, flexographic,
gravure, or other printing machines. Includes short-run offset printing
presses."
681,364,51-5113,Print Binding and Finishing Workers,"Bind books and other publications or finish printed products by hand or
machine. May set up binding and finishing machines."
682,365,51-6011,Laundry and Dry-Cleaning Workers,"Operate or tend washing or dry-cleaning machines to wash or dry-clean
industrial or household articles, such as cloth garments, suede, leather,
furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and
dyers of these articles."
683,366,51-6021,"Pressers, Textile, Garment, and Related Materials",Press or shape articles by hand or machine.
684,367,51-6031,Sewing Machine Operators,"Operate or tend sewing machines to join, reinforce, decorate, or perform
related sewing operations in the manufacture of garment or nongarment
products."
685,368,51-6041,Shoe and Leather Workers and Repairers,"Construct, decorate, or repair leather and leather-like products, such as
luggage, shoes, and saddles. May use hand tools."
686,368,51-6042,Shoe Machine Operators and Tenders,"Operate or tend a variety of machines to join, decorate, reinforce, or
finish shoes and shoe parts."
687,369,51-6051,"Sewers, Hand","Sew, join, reinforce, or finish, usually with needle and thread, a variety
of manufactured items. Includes weavers and stitchers."
688,369,51-6052,"Tailors, Dressmakers, and Custom Sewers","Design, make, alter, repair, or fit garments."
689,370,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,"Operate or tend machines to bleach, shrink, wash, dye, or finish textiles
or synthetic or glass fibers."
690,370,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut textiles."
691,370,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that knit, loop, weave, or draw in
textiles. Excludes ""Sewing Machine Operators"" (51-6031)."
692,370,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that wind or twist textiles; or draw out
and combine sliver, such as wool, hemp, or synthetic fibers. Includes
slubber machine and drawing frame operators."
693,371,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Set up, operate, or tend machines that extrude and form continuous
filaments from synthetic materials, such as liquid polymer, rayon, and
fiberglass."
694,371,51-6092,Fabric and Apparel Patternmakers,"Draw and construct sets of precision master fabric patterns or layouts. May
also mark and cut fabrics and apparel."
695,371,51-6093,Upholsterers,"Make, repair, or replace upholstery for household furniture or
transportation vehicles."
696,371,51-6099,"Textile, Apparel, and Furnishings Workers, All Other","All textile, apparel, and furnishings workers not listed separately."
697,372,51-7011,Cabinetmakers and Bench Carpenters,"Cut, shape, and assemble wooden articles or set up and operate a variety of
woodworking machines, such as power saws, jointers, and mortisers to
surface, cut, or shape lumber or to fabricate parts for wood products.
Excludes ""Woodworking Machine Setters, Operators, and Tenders"" (51-7040)."
698,373,51-7021,Furniture Finishers,"Shape, finish, and refinish damaged, worn, or used furniture or new
high-grade furniture to specified color or finish."
699,374,51-7031,"Model Makers, Wood","Construct full-size and scale wooden precision models of products. Includes
wood jig builders and loft workers."
700,374,51-7032,"Patternmakers, Wood","Plan, lay out, and construct wooden unit or sectional patterns used in
forming sand molds for castings."
701,375,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood","Set up, operate, or tend wood sawing machines. May operate computer
numerically controlled (CNC) equipment. Includes lead sawyers. Workers who
primarily program or operate CNC equipment are classified in ""Computer
Numerically Controlled Tool Operators and Programmers"" (51-9160)."
702,375,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Set up, operate, or tend woodworking machines, such as drill presses,
lathes, shapers, routers, sanders, planers, and wood nailing machines. May
operate computer numerically controlled (CNC) equipment. Workers who
primarily program or operate CNC equipment are classified in ""Computer
Numerically Controlled Tool Operators and Programmers"" (51-9160)."
703,376,51-7099,"Woodworkers, All Other",All woodworkers not listed separately.
704,377,51-8011,Nuclear Power Reactor Operators,"Operate or control nuclear reactors. Move control rods, start and stop
equipment, monitor and adjust controls, and record data in logs. Implement
emergency procedures when needed. May respond to abnormalities, determine
cause, and recommend corrective action."
705,377,51-8012,Power Distributors and Dispatchers,"Coordinate, regulate, or distribute electricity or steam."
706,377,51-8013,Power Plant Operators,"Control, operate, or maintain machinery to generate electric power.
Includes auxiliary equipment operators. Excludes ""Nuclear Power Reactor
Operators"" (51-8011)."
707,378,51-8021,Stationary Engineers and Boiler Operators,"Operate or maintain stationary engines, boilers, or other mechanical
equipment to provide utilities for buildings or industrial processes.
Operate equipment such as steam engines, generators, motors, turbines, and
steam boilers."
708,379,51-8031,Water and Wastewater Treatment Plant and System Operators,"Operate or control an entire process or system of machines, often through
the use of control boards, to transfer or treat water or wastewater."
709,380,51-8091,Chemical Plant and System Operators,Control or operate entire chemical processes or system of machines.
710,380,51-8092,Gas Plant Operators,"Distribute or process gas for utility companies and others by controlling
compressors to maintain specified pressures on main pipelines."
711,380,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Operate or control petroleum refining or processing units. May specialize
in controlling manifold and pumping systems, gauging or testing oil in
storage tanks, or regulating the flow of oil into pipelines."
712,380,51-8099,"Plant and System Operators, All Other",All plant and system operators not listed separately.
713,381,51-9011,Chemical Equipment Operators and Tenders,"Operate or tend equipment to control chemical changes or reactions in the
processing of industrial or consumer products. Equipment used includes
devulcanizers, steam-jacketed kettles, and reactor vessels. Excludes
""Chemical Plant and System Operators"" (51-8091)."
714,381,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Set up, operate, or tend continuous flow or vat-type equipment; filter
presses; shaker screens; centrifuges; condenser tubes; precipitating,
fermenting, or evaporating tanks; scrubbing towers; or batch stills. These
machines extract, sort, or separate liquids, gases, or solids from other
materials to recover a refined product. Includes dairy processing equipment
operators. Excludes ""Chemical Equipment Operators and Tenders"" (51-9011)."
715,382,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to crush, grind, or polish materials,
such as coal, glass, grain, stone, food, or rubber."
716,382,51-9022,"Grinding and Polishing Workers, Hand","Grind, sand, or polish, using hand tools or hand-held power tools, a
variety of metal, wood, stone, clay, plastic, or glass objects. Includes
chippers, buffers, and finishers."
717,382,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to mix or blend materials, such as
chemicals, tobacco, liquids, color pigments, or explosive ingredients.
Excludes ""Food Batchmakers"" (51-3092)."
718,383,51-9031,"Cutters and Trimmers, Hand","Use hand tools or hand-held power tools to cut and trim a variety of
manufactured items, such as carpet, fabric, stone, glass, or rubber."
719,383,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut or slice materials, such as
glass, stone, cork, rubber, tobacco, food, paper, or insulating material.
Excludes ""Cutting, Punching, and Press Machine Setters, Operators, and
Tenders, Metal and Plastic"" (51-4031), ""Textile Cutting Machine Setters,
Operators, and Tenders"" (51-6062), and ""Woodworking Machine Setters,
Operators, and Tenders"" (51-7040)."
720,384,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines, such as glass-forming machines, plodder
machines, and tuber machines, to shape and form products such as glassware,
food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics. Excludes
""Shoe Machine Operators and Tenders"" (51-6042) and ""Paper Goods Machine
Setters, Operators, and Tenders"" (51-9196)."
721,385,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Operate or tend heating equipment other than basic metal, plastic, or food
processing equipment. Includes activities such as annealing glass, drying
lumber, curing rubber, removing moisture from materials, or boiling soap."
722,386,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspect, test, sort, sample, or weigh nonagricultural raw materials or
processed, machined, fabricated, or assembled parts or products for
defects, wear, and deviations from specifications. May use precision
measuring instruments and complex test equipment."
723,387,51-9071,Jewelers and Precious Stone and Metal Workers,"Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other
precious metals, or gems. Includes diamond polishers and gem cutters, and
persons who perform precision casting and modeling of molds, casting metal
in molds, or setting precious and semiprecious stones for jewelry and
related products."
724,388,51-9081,Dental Laboratory Technicians,"Construct and repair full or partial dentures or dental appliances.
Excludes ""Dental Assistants"" (31-9091)."
725,388,51-9082,Medical Appliance Technicians,"Construct, maintain, or repair medical supportive devices such as braces,
orthotics and prosthetic devices, joints, arch supports, and other surgical
and medical appliances."
726,388,51-9083,Ophthalmic Laboratory Technicians,"Cut, grind, and polish eyeglasses, contact lenses, or other precision
optical elements. Assemble and mount lenses into frames or process other
optical elements. Includes precision lens polishers or grinders,
centerer-edgers, and lens mounters. Excludes ""Opticians, Dispensing ""
(29-2081)."
727,389,51-9111,Packaging and Filling Machine Operators and Tenders,"Operate or tend machines to prepare industrial or consumer products for
storage or shipment. Includes cannery workers who pack food products."
728,390,51-9123,"Painting, Coating, and Decorating Workers","Paint, coat, or decorate articles, such as furniture, glass, plateware,
pottery, jewelry, toys, books, or leather. Excludes ""Artists and Related
Workers"""" (27-1010), ""Designers"" (27-1020), ""Photographic Process Workers
and Processing Machine Operators"" (51-9151), and ""Etchers and Engravers""
(51-9194"
729,390,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Loading...
730,391,51-9141,Semiconductor Processing Technicians,"Perform any or all of the following functions in the manufacture of
electronic semiconductors: load semiconductor material into furnace; saw
formed ingots into segments; load individual segment into crystal growing
chamber and monitor controls; locate crystal axis in ingot using x-ray
equipment and saw ingots into wafers; and clean, polish, and load wafers
into series of special purpose furnaces, chemical baths, and equipment used
to form circuitry and change conductive properties."
731,392,51-9151,Photographic Process Workers and Processing Machine Operators,"Perform work involved in developing and processing photographic images from
film or digital media. May perform precision tasks such as editing
photographic negatives and prints."
732,393,51-9161,Computer Numerically Controlled Tool Operators,Loading...
733,393,51-9162,Computer Numerically Controlled Tool Programmers,"Develop programs to control machining or processing of materials by
automatic machine tools, equipment, or systems. May also set up, operate,
or maintain equipment."
734,394,51-9191,Adhesive Bonding Machine Operators and Tenders,"Operate or tend bonding machines that use adhesives to join items for
further processing or to form a completed product. Processes include
joining veneer sheets into plywood; gluing paper; or joining rubber and
rubberized fabric parts, plastic, simulated leather, or other materials.
Excludes ""Shoe Machine Operators and Tenders"" (51-6042)."
735,394,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Operate or tend machines to wash or clean products, such as barrels or
kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to
remove impurities."
736,394,51-9193,Cooling and Freezing Equipment Operators and Tenders,"Operate or tend equipment such as cooling and freezing units,
refrigerators, batch freezers, and freezing tunnels, to cool or freeze
products, food, blood plasma, and chemicals."
737,394,51-9194,Etchers and Engravers,"Engrave or etch metal, wood, rubber, or other materials. Includes such
workers as etcher-circuit processors, pantograph engravers, and silk screen
etchers. Photoengravers are included in ""Prepress Technicians and Workers""
(51-5111)."
738,394,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic","Mold, shape, form, cast, or carve products such as food products,
figurines, tile, pipes, and candles consisting of clay, glass, plaster,
concrete, stone, or combinations of materials."
739,394,51-9196,"Paper Goods Machine Setters, Operators, and Tenders","Set up, operate, or tend paper goods machines that perform a variety of
functions, such as converting, sawing, corrugating, banding, wrapping,
boxing, stitching, forming, or sealing paper or paperboard sheets into
products."
740,394,51-9197,Tire Builders,Operate machines to build tires.
741,394,51-9198,Helpers--Production Workers,"Help production workers by performing duties requiring less skill. Duties
include supplying or holding materials or tools, and cleaning work area and
equipment. Apprentice workers are classified in the appropriate production
occupations (51-0000)."
742,394,51-9199,"Production Workers, All Other","All production workers not listed separately. Excludes ""Packers and
Packagers, Hand"" (53-7064)."
743,395,53-1041,Aircraft Cargo Handling Supervisors,"Supervise and coordinate the activities of ground crew in the loading,
unloading, securing, and staging of aircraft cargo or baggage. May
determine the quantity and orientation of cargo and compute aircraft center
of gravity. May accompany aircraft as member of flight crew and monitor and
handle cargo in flight, and assist and brief passengers on safety and
emergency procedures. Includes loadmasters."
744,395,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","This occupation includes the 2018 SOC occupations 53-1042 First-Line
Supervisors of Helpers, Laborers, and Material Movers, Hand; 53-1043
First-Line Supervisors of Material-Moving Machine and Vehicle Operators;
53-1044 First-Line Supervisors of Passenger Attendants; and 53-1049
First-Line Supervisors of Transportation Workers, All Other; and the 2010
SOC occupations 53-1021 First-Line Supervisors of Helpers, Laborers, and
Material Movers, Hand; and 53-1031 First-Line Supervisors of Transportation
and Material-Moving Machine and Vehicle Operators."
745,396,53-2011,"Airline Pilots, Copilots, and Flight Engineers","Pilot and navigate the flight of fixed-wing aircraft, usually on scheduled
air carrier routes, for the transport of passengers and cargo. Requires
Federal Air Transport certificate and rating for specific aircraft type
used. Includes regional, national, and international airline pilots and
flight instructors of airline pilots. Excludes ""Electro-Mechanical and
Mechatronics Technologists and Technicians"" (17-3024)."
746,396,53-2012,Commercial Pilots,"Pilot and navigate the flight of fixed-wing aircraft on nonscheduled air
carrier routes, or helicopters. Requires Commercial Pilot certificate.
Includes charter pilots with similar certification, and air ambulance and
air tour pilots. Excludes regional, national, and international airline
pilots. Excludes ""Electro-Mechanical and Mechatronics Technologists and
Technicians"" (17-3024)."
